
 name                               value               environments                        created     
 REACT_APP_SUPABASE_ANON_KEY        Encrypted           Production                          17d ago     
 REACT_APP_SUPABASE_URL             Encrypted           Production                          17d ago     
 OPENAI_API_KEY                     Encrypted           Production                          19d ago     
 SUPABASE_SERVICE_ROLE_KEY          Encrypted           Production                          91d ago     
 NEXT_PUBLIC_SUPABASE_ANON_KEY      Encrypted           Production                          91d ago     
 NEXT_PUBLIC_SUPABASE_URL           Encrypted           Production                          91d ago     
 MINIMAX_KEY                        Encrypted           Production                          91d ago     
 OPENROUTER_KEY                     Encrypted           Development, Preview, Production    101d ago    
 TELEGRAM_BOT_TOKEN                 Encrypted           Development, Preview, Production    103d ago    
 DATABASE_URL                       Encrypted           Production, Preview, Development    103d ago    
 ELEVENLABS_API_KEY                 Encrypted           Production, Preview                 108d ago    
 ANTHROPIC_API_KEY                  Encrypted           Development, Preview, Production    178d ago    
 NEXT_PUBLIC_APP_URL                Encrypted           Development, Preview, Production    179d ago    

